,Cumulative_Return,Mean_Geometric_Return,Min_Return,10_days_MaxDrawdown,Volatility,Sharpe_Ratio,skewness,kurtosis,VaR,CVaR
Bf_c,1.021799833,0.000353597,-0.016613542,0.039337902,0.007727277,0.04669694,-0.194935223,-0.612765167,-0.012736602,-0.015251923
Med_c,1.018064667,0.000293542,-0.037357248,0.07380857,0.013531391,0.02749594,0.754347621,1.745585526,-0.018197162,-0.021642302
Aft_c,1.02211623,0.000358674,-0.013157974,0.037654342,0.007039313,0.054183062,0.47402267,0.285353402,-0.01008999,-0.012164976
,,,,,,,,,,
,,,,,,,,,,
,Bf_c,Med_c,Aft_c,,,,,,,
Cumulative_Return,1.021799833,1.018064667,1.02211623,,,,,,,
Mean_Geometric_Return,0.000353597,0.000293542,0.000358674,,,,,,,
Min_Return,-0.016613542,-0.037357248,-0.013157974,,,,,,,
10_days_MaxDrawdown,0.039337902,0.07380857,0.037654342,,,,,,,
Volatility,0.007727277,0.013531391,0.007039313,,,,,,,
Sharpe_Ratio,0.04669694,0.02749594,0.054183062,,,,,,,
skewness,-0.194935223,0.754347621,0.47402267,,,,,,,
kurtosis,-0.612765167,1.745585526,0.285353402,,,,,,,
VaR,-0.012736602,-0.018197162,-0.01008999,,,,,,,
CVaR,-0.015251923,-0.021642302,-0.012164976,,,,,,,
