Date,Mkt-RF,SMB,HML,RF
2007-03-23,0.08,0.07,0.07,0.019
2007-03-26,0.06,-0.04,-0.18,0.019
2007-03-27,-0.61,-0.19,-0.04,0.019
2007-03-28,-0.74,0.22,0.02,0.019
2007-03-29,0.29,-0.2,0.12,0.019
2007-03-30,-0.07,0.31,-0.09,0.019
2007-04-02,0.22,0.1,-0.2,0.022
2007-04-03,0.93,0.05,-0.1,0.022
2007-04-04,0.09,-0.18,-0.25,0.022
2007-04-05,0.31,0.02,-0.13,0.022
2007-04-09,0.05,-0.24,0.03,0.022
2007-04-10,0.22,0.08,0.05,0.022
2007-04-11,-0.64,-0.12,0.15,0.022
2007-04-12,0.61,0.23,-0.15,0.022
2007-04-13,0.34,0.23,-0.05,0.022
2007-04-16,1.06,0.29,0.04,0.022
2007-04-17,0.09,-0.44,-0.07,0.022
2007-04-18,0,-0.75,0.57,0.022
2007-04-19,-0.23,-0.37,-0.08,0.022
2007-04-20,0.89,0.23,-0.03,0.022
2007-04-23,-0.24,0.08,-0.33,0.022
2007-04-24,-0.1,-0.06,-0.24,0.022
2007-04-25,0.91,-0.38,0.18,0.022
2007-04-26,-0.02,0.32,-0.32,0.022
2007-04-27,-0.13,-0.31,-0.39,0.022
2007-04-30,-0.93,-0.88,-0.02,0.022
2007-05-01,0.22,-0.06,-0.03,0.018
2007-05-02,0.79,0.64,0,0.018
2007-05-03,0.37,-0.33,0.16,0.018
2007-05-04,0.25,0.2,0,0.018
2007-05-07,0.18,-0.38,0.28,0.018
2007-05-08,-0.13,-0.04,-0.12,0.018
2007-05-09,0.35,0.08,-0.05,0.018
2007-05-10,-1.42,-0.51,0.28,0.018
2007-05-11,0.95,0.2,0.03,0.018
2007-05-14,-0.28,-0.58,-0.01,0.018
2007-05-15,-0.27,-0.76,0.17,0.018
2007-05-16,0.82,-0.21,0.04,0.018
2007-05-17,-0.1,-0.35,-0.01,0.018
2007-05-18,0.66,0.4,-0.49,0.018
2007-05-21,0.31,0.9,-0.19,0.018
2007-05-22,0.08,0.7,0.01,0.018
2007-05-23,-0.18,-0.2,-0.16,0.018
2007-05-24,-1.07,-0.4,-0.08,0.018
2007-05-25,0.55,0.24,-0.05,0.018
2007-05-29,0.24,0.61,-0.03,0.018
2007-05-30,0.77,-0.21,-0.06,0.018
2007-05-31,0.13,0.35,-0.31,0.018
2007-06-01,0.44,0.31,0.05,0.019
2007-06-04,0.18,0.07,-0.01,0.019
2007-06-05,-0.55,-0.12,-0.22,0.019
2007-06-06,-0.92,0.11,0.03,0.019
2007-06-07,-1.75,-0.05,0.11,0.019
2007-06-08,1.07,-0.03,-0.06,0.019
2007-06-11,0.08,-0.31,0.16,0.019
2007-06-12,-1.06,-0.18,-0.08,0.019
2007-06-13,1.37,-0.2,-0.18,0.019
2007-06-14,0.5,0.12,-0.13,0.019
2007-06-15,0.69,0.49,0,0.019
2007-06-18,-0.13,-0.02,-0.02,0.019
2007-06-19,0.14,0.02,0.12,0.019
2007-06-20,-1.29,0.08,-0.17,0.019
2007-06-21,0.56,-0.18,-0.04,0.019
2007-06-22,-1.25,0.59,-0.01,0.019
2007-06-25,-0.39,-0.41,-0.09,0.019
2007-06-26,-0.35,0.15,-0.24,0.019
2007-06-27,0.92,0.48,-0.35,0.019
2007-06-28,0.03,0.17,0.06,0.019
2007-06-29,-0.19,-0.34,-0.05,0.019
2007-07-02,1.06,-0.08,0.13,0.019
2007-07-03,0.36,-0.05,-0.11,0.019
2007-07-05,0.07,0.19,-0.59,0.019
2007-07-06,0.4,-0.08,-0.09,0.019
2007-07-09,0.1,0.07,-0.09,0.019
2007-07-10,-1.43,-0.16,-0.35,0.019
2007-07-11,0.55,-0.28,-0.14,0.019
2007-07-12,1.78,-0.18,-0.29,0.019
2007-07-13,0.28,-0.29,0.02,0.019
2007-07-16,-0.31,-0.44,-0.32,0.019
2007-07-17,0.02,0.14,-0.18,0.019
2007-07-18,-0.25,-0.21,-0.21,0.019
2007-07-19,0.44,0.33,-0.46,0.019
2007-07-20,-1.25,-0.27,-0.18,0.019
2007-07-23,0.36,-0.4,-0.49,0.019
2007-07-24,-2.04,-0.49,-0.29,0.019
2007-07-25,0.3,-0.45,0.12,0.019
2007-07-26,-2.36,-0.02,-0.17,0.019
2007-07-27,-1.51,-0.06,0.13,0.019
2007-07-30,0.93,-0.23,-0.07,0.019
2007-07-31,-1.19,0.35,-0.13,0.019
2007-08-01,0.51,-0.51,-0.26,0.018
2007-08-02,0.55,0.15,-0.3,0.018
2007-08-03,-2.66,-0.63,-0.75,0.018
2007-08-06,2.07,-1.16,-0.39,0.018
2007-08-07,0.65,0.28,-0.66,0.018
2007-08-08,1.47,1.2,-0.76,0.018
2007-08-09,-2.74,1.65,-0.56,0.018
2007-08-10,0.03,0,1.38,0.018
2007-08-13,-0.06,-1.13,0.28,0.018
2007-08-14,-1.83,-0.06,-0.16,0.018
2007-08-15,-1.46,0.02,0,0.018
2007-08-16,0.31,1.14,1.32,0.018
2007-08-17,2.36,-0.43,0.42,0.018
2007-08-20,0,0.19,-0.35,0.018
2007-08-21,0.15,-0.03,-0.02,0.018
2007-08-22,1.2,0.06,-0.06,0.018
2007-08-23,-0.23,-1,0.21,0.018
2007-08-24,1.21,0.13,-0.26,0.018
2007-08-27,-0.85,-0.11,-0.17,0.018
2007-08-28,-2.33,-0.08,-0.39,0.018
2007-08-29,2.13,0.12,0.03,0.018
2007-08-30,-0.43,0,-0.46,0.018
2007-08-31,1.12,0.05,-0.04,0.018
2007-09-04,1.03,-0.21,0.03,0.017
2007-09-05,-1.05,0.01,-0.31,0.017
2007-09-06,0.42,0,-0.21,0.017
2007-09-07,-1.7,-0.32,0.23,0.017
2007-09-10,-0.27,-0.52,-0.22,0.017
2007-09-11,1.35,0.05,-0.35,0.017
2007-09-12,-0.03,-0.45,-0.19,0.017
2007-09-13,0.69,-0.63,0.2,0.017
2007-09-14,0.1,0.38,-0.12,0.017
2007-09-17,-0.6,-0.43,0.03,0.017
2007-09-18,2.88,0.59,0.39,0.017
2007-09-19,0.59,0.58,0.24,0.017
2007-09-20,-0.65,-0.16,-0.37,0.017
2007-09-21,0.43,-0.22,-0.28,0.017
2007-09-24,-0.56,-0.38,-0.62,0.017
2007-09-25,-0.03,-0.29,-0.4,0.017
2007-09-26,0.6,0.18,-0.2,0.017
2007-09-27,0.43,0.19,-0.04,0.017
2007-09-28,-0.37,-0.54,0.03,0.017
2007-10-01,1.37,0.81,0.06,0.014
2007-10-02,0.11,0.66,0.19,0.014
2007-10-03,-0.48,-0.21,-0.12,0.014
2007-10-04,0.18,-0.05,0.1,0.014
2007-10-05,1.1,0.67,-0.08,0.014
2007-10-08,-0.27,-0.19,-0.32,0.014
2007-10-09,0.78,-0.2,-0.22,0.014
2007-10-10,-0.13,0.01,-0.41,0.014
2007-10-11,-0.58,-0.65,0.52,0.014
2007-10-12,0.51,0.13,-0.35,0.014
2007-10-15,-0.89,-0.42,-0.17,0.014
2007-10-16,-0.67,-0.05,-0.3,0.014
2007-10-17,0.22,-0.17,-0.21,0.014
2007-10-18,-0.1,0.13,-0.42,0.014
2007-10-19,-2.45,-0.48,0.01,0.014
2007-10-22,0.47,0.89,0.05,0.014
2007-10-23,0.85,0.08,-0.6,0.014
2007-10-24,-0.33,-0.46,-0.21,0.014
2007-10-25,-0.19,-0.31,-0.07,0.014
2007-10-26,1.38,0.25,0.36,0.014
2007-10-29,0.4,-0.26,-0.55,0.014
2007-10-30,-0.64,0.06,0.16,0.014
2007-10-31,1.23,0.02,-0.12,0.014
2007-11-01,-2.66,-0.88,-0.42,0.016
2007-11-02,0.08,0.2,-0.88,0.016
2007-11-05,-0.59,-0.32,-0.03,0.016
2007-11-06,1.19,0.02,-0.18,0.016
2007-11-07,-2.77,-0.05,-0.5,0.016
2007-11-08,-0.05,0.54,1.17,0.016
2007-11-09,-1.46,0.21,0.86,0.016
2007-11-12,-1.08,0.38,0.31,0.016
2007-11-13,2.81,-0.48,0.1,0.016
2007-11-14,-0.63,-0.18,-0.24,0.016
2007-11-15,-1.25,0.03,-0.07,0.016
2007-11-16,0.41,-0.62,-0.68,0.016
2007-11-19,-1.81,-0.29,-0.35,0.016
2007-11-20,0.31,-0.59,-0.11,0.016
2007-11-21,-1.54,0.42,0.03,0.016
